"date","district","primary_type","arrest","domestic","case_number"
"2018-01-06T12:45:00.000","001","BATTERY","false","false","JB109022"
"2018-01-06T13:30:00.000","001","THEFT","false","false","JB106928"
"2018-01-06T14:00:00.000","001","THEFT","false","false","JB106685"
"2018-01-06T14:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB106945"
"2018-01-06T14:00:00.000","001","THEFT","true","false","JB106676"
"2018-01-06T14:15:00.000","001","ASSAULT","false","false","JB106657"
"2018-01-06T14:34:00.000","001","OTHER OFFENSE","false","true","JB106764"
"2018-01-06T15:00:00.000","001","THEFT","false","false","JB107090"
"2018-01-06T15:15:00.000","001","ASSAULT","false","false","JB106717"
"2018-01-06T15:25:00.000","001","DECEPTIVE PRACTICE","false","false","JB110049"
"2018-01-06T15:55:00.000","001","THEFT","false","false","JB106862"
"2018-01-06T17:15:00.000","001","THEFT","false","false","JB106860"
"2018-01-06T18:10:00.000","001","ROBBERY","false","false","JB106918"
"2018-01-06T19:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB107575"
"2018-01-06T19:15:00.000","001","ASSAULT","false","false","JB107015"
"2018-01-06T19:45:00.000","001","THEFT","false","false","JB107005"
"2018-01-06T20:02:00.000","001","MOTOR VEHICLE THEFT","false","false","JB107139"
"2018-01-06T20:45:00.000","001","THEFT","false","false","JB107064"
"2018-01-06T22:00:00.000","001","THEFT","false","false","JB107112"
"2018-01-06T22:30:00.000","001","THEFT","false","false","JB107136"
"2018-01-06T23:00:00.000","001","THEFT","false","false","JB113044"
"2018-01-06T23:05:00.000","001","BATTERY","false","false","JB107158"
"2018-01-06T23:40:00.000","001","ROBBERY","false","false","JB107195"
"2018-01-07T00:00:00.000","001","DECEPTIVE PRACTICE","true","false","JB149403"
"2018-01-07T00:40:00.000","001","CRIMINAL DAMAGE","true","false","JB107224"
"2018-01-07T01:00:00.000","001","THEFT","false","false","JB107513"
"2018-01-07T01:25:00.000","001","BATTERY","false","true","JB107251"
"2018-01-07T03:00:00.000","001","BURGLARY","false","false","JB107861"
"2018-01-07T03:18:00.000","001","BATTERY","false","false","JB107292"
"2018-01-07T05:35:00.000","001","BATTERY","false","false","JB107334"
"2018-01-07T10:08:00.000","001","OTHER OFFENSE","false","false","JB110412"
"2018-01-07T12:00:00.000","001","THEFT","false","false","JB108504"
"2018-01-07T13:30:00.000","001","THEFT","false","false","JB108873"
"2018-01-07T14:10:00.000","001","OTHER OFFENSE","false","true","JB110242"
"2018-01-07T15:24:00.000","001","THEFT","false","false","JB107743"
"2018-01-07T16:00:00.000","001","ROBBERY","false","false","JB107770"
"2018-01-07T16:30:00.000","001","THEFT","true","false","JB107923"
"2018-01-07T16:40:00.000","001","ROBBERY","true","false","JB107862"
"2018-01-07T16:44:00.000","001","THEFT","false","false","JB107829"
"2018-01-07T16:50:00.000","001","ROBBERY","true","false","JB107839"
"2018-01-07T17:15:00.000","001","ROBBERY","false","false","JB107920"
"2018-01-07T17:30:00.000","001","THEFT","false","false","JB110076"
"2018-01-07T18:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB107858"
"2018-01-07T18:55:00.000","001","THEFT","false","false","JB107909"
"2018-01-07T19:20:00.000","001","ASSAULT","true","false","JB107904"
"2018-01-07T20:16:00.000","001","ASSAULT","false","true","JB107956"
"2018-01-07T22:20:00.000","001","ROBBERY","false","false","JB108045"
"2018-01-08T05:15:00.000","001","THEFT","false","false","JB108510"
"2018-01-08T05:30:00.000","001","THEFT","false","false","JB108821"
"2018-01-08T08:00:00.000","001","THEFT","false","false","JB108996"
"2018-01-08T09:00:00.000","001","THEFT","false","false","JB126016"
"2018-01-08T10:00:00.000","001","THEFT","false","false","JB108418"
"2018-01-08T10:36:00.000","001","DECEPTIVE PRACTICE","false","false","JB110305"
"2018-01-08T10:50:00.000","001","THEFT","true","false","JB108449"
"2018-01-08T11:30:00.000","001","BATTERY","true","false","JB108490"
"2018-01-08T12:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB108800"
"2018-01-08T12:00:00.000","001","THEFT","false","false","JB108798"
"2018-01-08T12:05:00.000","001","OTHER OFFENSE","false","false","JB108459"
"2018-01-08T12:45:00.000","001","THEFT","true","false","JB108617"
"2018-01-08T13:00:00.000","001","THEFT","false","false","JB108746"
"2018-01-08T13:30:00.000","001","DECEPTIVE PRACTICE","false","false","JB108753"
"2018-01-08T14:03:00.000","001","THEFT","false","false","JB108696"
"2018-01-08T14:25:00.000","001","NARCOTICS","true","false","JB120418"
"2018-01-08T14:30:00.000","001","THEFT","false","false","JB108726"
"2018-01-08T15:00:00.000","001","THEFT","false","false","JB108811"
"2018-01-08T15:54:00.000","001","THEFT","false","false","JB108860"
"2018-01-08T16:00:00.000","001","BATTERY","false","false","JB187176"
"2018-01-08T16:30:00.000","001","THEFT","false","false","JB117319"
"2018-01-08T16:33:00.000","001","THEFT","true","false","JB108968"
"2018-01-08T16:40:00.000","001","THEFT","true","false","JB109025"
"2018-01-08T16:50:00.000","001","DECEPTIVE PRACTICE","false","false","JB108979"
"2018-01-08T17:20:00.000","001","THEFT","false","false","JB109017"
"2018-01-08T17:24:00.000","001","THEFT","false","false","JB112363"
"2018-01-08T17:35:00.000","001","THEFT","false","false","JB109042"
"2018-01-08T17:35:00.000","001","DECEPTIVE PRACTICE","false","false","JB110062"
"2018-01-08T17:40:00.000","001","MOTOR VEHICLE THEFT","false","false","JB109085"
"2018-01-08T17:40:00.000","001","THEFT","true","false","JB109091"
"2018-01-08T18:22:00.000","001","THEFT","false","false","JB117087"
"2018-01-08T18:30:00.000","001","THEFT","false","false","JB109461"
"2018-01-08T18:30:00.000","001","THEFT","false","false","JB110824"
"2018-01-08T19:45:00.000","001","NARCOTICS","true","false","JB109185"
"2018-01-08T19:51:00.000","001","THEFT","false","false","JB109180"
"2018-01-08T21:30:00.000","001","BATTERY","false","false","JB109293"
"2018-01-08T21:30:00.000","001","DECEPTIVE PRACTICE","false","false","JB111181"
"2018-01-08T23:30:00.000","001","THEFT","false","false","JB110147"
"2018-01-09T00:26:00.000","001","ASSAULT","false","false","JB109363"
"2018-01-09T01:15:00.000","001","ASSAULT","true","false","JB109418"
"2018-01-09T01:52:00.000","001","BATTERY","true","false","JB109403"
"2018-01-09T02:10:00.000","001","THEFT","true","false","JB109391"
"2018-01-09T03:30:00.000","001","THEFT","false","false","JB109432"
"2018-01-09T07:00:00.000","001","THEFT","false","false","JB111988"
"2018-01-09T08:20:00.000","001","THEFT","false","false","JB110486"
"2018-01-09T09:00:00.000","001","THEFT","false","false","JB109585"
"2018-01-09T09:00:00.000","001","BURGLARY","false","false","JB110856"
"2018-01-09T10:00:00.000","001","THEFT","false","false","JB109967"
"2018-01-09T10:30:00.000","001","THEFT","true","false","JB109638"
"2018-01-09T11:47:00.000","001","BURGLARY","false","false","JB110399"
"2018-01-09T11:50:00.000","001","THEFT","false","false","JB109847"
"2018-01-09T12:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB113642"
"2018-01-09T12:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB115203"
"2018-01-09T12:00:00.000","001","THEFT","false","false","JB109888"
"2018-01-09T12:29:00.000","001","BURGLARY","false","false","JB109809"
"2018-01-09T12:30:00.000","001","ASSAULT","true","false","JB109784"
"2018-01-09T12:58:00.000","001","THEFT","true","false","JB109845"
"2018-01-09T13:30:00.000","001","ROBBERY","false","false","JB109885"
"2018-01-09T13:35:00.000","001","BATTERY","false","false","JB109900"
"2018-01-09T13:50:00.000","001","THEFT","false","false","JB109925"
"2018-01-09T14:00:00.000","001","THEFT","false","false","JB113782"
"2018-01-09T14:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB110211"
